Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSGALG00010005414	-	1	-	56535	61129	2.880896	0.563556	1.212385
ENSGALG00010005419	-	1	-	67865	69817	1.859529	0.363758	0.782557
ENSGALG00010007613	-	1	-	50911	55356	24.531153	9.520977	20.482601
ENSGALG00010007615	-	1	+	51038	52955	0.611571	0.119634	0.257371
ENSGALG00010007422	ACR	1	-	529038	531495	0.415125	0.081206	0.174700
ENSGALG00010007616	-	1	-	514291	516013	2.478669	0.484873	1.043114
ENSGALG00010007418	-	1	-	518639	524104	5.749309	1.124670	2.419517
ENSGALG00010007419	RABL2A	1	+	524168	528088	5.235849	1.024228	2.203435
ENSGALG00010007425	-	1	-	532310	537908	25.649412	5.017494	10.794200
ENSGALG00010007895	-	1	+	460818	493919	17.534441	3.430057	7.379127
ENSGALG00010007408	HCLS1	1	+	495465	507494	48.001770	9.913576	21.327204
ENSGALG00010007874	-	1	-	70300	79479	0.442379	0.406235	0.873939
ENSGALG00010005420	DHRS4	1	+	79726	86101	28.642082	5.602915	12.053624
ENSGALG00010007825	U2	1	-	87932	88122	0.000000	0.000000	0.000000
ENSGALG00010007820	U2	1	-	92770	92960	0.000000	0.000000	0.000000
ENSGALG00010007824	U2	1	-	97620	97810	0.000000	0.000000	0.000000
ENSGALG00010007823	U2	1	-	102476	102666	0.000000	0.000000	0.000000
ENSGALG00010007822	U2	1	-	107338	107528	0.000000	0.000000	0.000000
ENSGALG00010007813	U2	1	-	112199	112389	0.000000	0.000000	0.000000
ENSGALG00010007827	U2	1	-	117042	117232	0.000000	0.000000	0.000000
ENSGALG00010007814	U2	1	-	121885	122075	0.000000	0.000000	0.000000
ENSGALG00010007816	U2	1	-	126722	126912	0.000000	0.000000	0.000000
ENSGALG00010007123	-	1	-	130434	335145	30.750233	6.015308	12.940810
ENSGALG00010007126	-	1	-	137726	140009	0.791847	0.154900	0.333238
ENSGALG00010007137	-	1	+	142613	146749	29.556038	5.781702	12.438250
ENSGALG00010007160	-	1	-	163071	167700	50.077888	14.356980	30.886358
ENSGALG00010007182	-	1	+	218643	251034	31.088947	6.081566	13.083354
ENSGALG00010007165	-	1	+	219451	220975	5.848360	1.144046	2.461201
ENSGALG00010007320	-	1	+	248230	292245	56.206909	16.364840	35.205894
ENSGALG00010007230	-	1	+	283928	323551	0.635379	0.423495	0.911071
ENSGALG00010007339	-	1	+	295945	438633	3.293746	3.064133	6.591909
ENSGALG00010007115	-	1	-	302853	433386	2.298436	18.172209	39.094112
ENSGALG00010007387	-	1	-	325396	427848	0.081844	0.025216	0.054248
ENSGALG00010007398	-	1	-	347657	364453	0.480066	0.093910	0.202029
ENSGALG00010007400	-	1	+	364863	372064	0.179697	0.035152	0.075623
ENSGALG00010007287	-	1	-	389282	409349	22.058327	12.095640	26.021509
ENSGALG00010007369	-	1	-	429352	445284	14.512799	2.885314	6.207215
ENSGALG00010007405	-	1	-	446199	451266	1.020194	0.199569	0.429335
ENSGALG00010006288	ARF5	1	-	994952	1005857	3.648210	1.235554	2.658062
ENSGALG00010007620	-	1	-	556359	558414	0.000000	0.000000	0.000000
ENSGALG00010007756	-	1	+	557235	571867	0.111586	0.130970	0.281757
ENSGALG00010007842	gga-mir-12207	1	+	558308	558368	0.000000	0.000000	0.000000
ENSGALG00010007457	-	1	+	572048	841165	13.965143	3.657599	7.868640
ENSGALG00010007589	-	1	+	685314	687814	0.000000	0.000000	0.000000
ENSGALG00010007591	-	1	+	709288	710561	0.000000	0.000000	0.000000
ENSGALG00010007839	gga-mir-6708	1	+	709518	709627	0.000000	0.000000	0.000000
ENSGALG00010007831	gga-mir-1604	1	+	734201	734297	0.000000	0.000000	0.000000
ENSGALG00010007621	-	1	-	842095	846151	6.437394	1.259272	2.709088
ENSGALG00010006300	GCC1	1	+	1006145	1011082	13.488290	2.640714	5.681002
ENSGALG00010006327	DENND6B	1	-	1012031	1031248	14.471358	4.084690	8.787446
ENSGALG00010005486	IRF5	1	+	1207489	1217633	13.535346	3.169378	6.818325
ENSGALG00010005492	TNPO3	1	-	1217871	1235442	137.959488	29.393330	63.234249
ENSGALG00010005496	-	1	+	1217956	1218986	0.000000	0.000000	0.000000
ENSGALG00010006347	PPP6R2	1	+	1038409	1106230	93.119568	24.033346	51.703251
ENSGALG00010007836	gga-mir-1651	1	+	1082968	1083051	0.000000	0.000000	0.000000
ENSGALG00010007627	-	1	+	1109037	1111632	0.000000	0.000000	0.000000
ENSGALG00010007625	-	1	-	1109037	1112839	5.072303	0.992235	2.134609
ENSGALG00010007628	-	1	-	1114697	1118581	0.000000	0.000000	0.000000
ENSGALG00010007630	-	1	+	1115318	1118412	0.711614	0.139205	0.299473
ENSGALG00010006372	SBF1	1	-	1119149	1184682	98.574852	21.189203	45.584610
ENSGALG00010006410	ADM2	1	+	1180836	1183491	0.000000	0.000000	0.000000
ENSGALG00010007888	MIOX	1	+	1183559	1192714	0.886295	0.251982	0.542092
ENSGALG00010006421	LMF2	1	-	1188298	1195071	106.933868	21.264082	45.745701
ENSGALG00010006457	NCAPH2	1	+	1194787	1204682	3.742745	0.861108	1.852512
ENSGALG00010006463	SCO2	1	-	1198695	1205558	11.511942	2.251946	4.844642
ENSGALG00010005498	SMO	1	+	1241559	1250136	229.765930	44.946415	96.693817
ENSGALG00010007631	-	1	-	1321714	1328961	0.000000	0.000000	0.000000
ENSGALG00010007597	SMKR1	1	+	1319747	1319947	2.960199	0.579069	1.245759
ENSGALG00010005524	STRIP2	1	+	1296520	1312008	12.563701	2.741687	5.898227
ENSGALG00010005511	AHCYL2	1	+	1251070	1295883	13.187284	18.572300	39.954834
ENSGALG00010006548	TMEM209	1	-	1471509	1483335	12.458084	2.854412	6.140733
ENSGALG00010005546	NRF1	1	+	1330243	1378306	16.356884	8.949548	19.253277
ENSGALG00010007840	gga-mir-182	1	-	1380872	1380953	0.000000	0.000000	0.000000
ENSGALG00010007828	gga-mir-96	1	-	1381942	1382027	0.000000	0.000000	0.000000
ENSGALG00010007838	gga-mir-183	1	-	1382053	1382150	0.000000	0.000000	0.000000
ENSGALG00010006496	UBE2H	1	-	1391671	1435875	81.218338	31.369751	67.486160
ENSGALG00010006528	ZC3HC1	1	-	1436603	1446071	21.498928	5.499890	11.831985
ENSGALG00010006532	KLHDC10	1	+	1446328	1461719	53.384090	10.442904	22.465958
ENSGALG00010006574	CPA1	1	+	1503030	1507277	0.000000	0.000000	0.000000
ENSGALG00010006581	CEP41	1	-	1507199	1516893	4.332853	0.861657	1.853693
ENSGALG00010006603	MEST	1	+	1517049	1522232	3.632431	1.097973	2.362084
ENSGALG00010006616	COPG2	1	-	1520366	1541146	31.469376	7.210850	15.512797
ENSGALG00010006948	-	1	-	1765363	1860279	0.000000	0.000000	0.000000
ENSGALG00010007833	gga-mir-205b	1	-	1811738	1811835	0.000000	0.000000	0.000000
ENSGALG00010007000	LRGUK	1	-	1901224	1950378	0.377715	0.073888	0.158956
ENSGALG00010006992	SLC35B4	1	+	1880144	1894788	18.158968	4.596424	9.888347
ENSGALG00010007002	EXOC4	1	-	1959626	2369574	37.740906	7.382811	15.882737
ENSGALG00010007003	-	1	+	2020997	2022146	0.000000	0.000000	0.000000
ENSGALG00010007004	-	1	+	2169709	2178494	0.000000	0.000000	0.000000
ENSGALG00010007006	-	1	-	2170664	2171443	0.000000	0.000000	0.000000
ENSGALG00010007025	-	1	-	2175806	2176239	0.000000	0.000000	0.000000
ENSGALG00010007005	-	1	+	2183111	2184959	0.000000	0.000000	0.000000
ENSGALG00010007892	-	1	+	2186837	2191077	0.000000	0.000000	0.000000
ENSGALG00010007014	-	1	+	2195603	2433928	0.000000	0.000000	0.000000
ENSGALG00010007036	-	1	-	2196397	2197176	0.000000	0.000000	0.000000
ENSGALG00010007078	-	1	-	2209498	2210277	0.000000	0.000000	0.000000
ENSGALG00010007844	gga-mir-6659	1	-	2247775	2247884	0.000000	0.000000	0.000000
ENSGALG00010006625	-	1	+	1553290	1554517	6.564583	1.284153	2.762614
ENSGALG00010007632	-	1	+	1555556	1557316	10.243103	2.003738	4.310668
ENSGALG00010006633	FBXO18	1	-	1557860	1582406	20.598602	4.124886	8.873919
ENSGALG00010006670	ANKRD16	1	+	1582631	1597555	10.907492	2.669075	5.742015
ENSGALG00010007891	GDI1	1	+	1600071	1614883	300.626465	58.808037	126.514488
ENSGALG00010006760	TASOR2	1	-	1602495	1648631	11.830791	4.476013	9.629305
ENSGALG00010007634	-	1	+	1651491	1654378	0.000000	0.000000	0.000000
ENSGALG00010006838	ASB13	1	+	1654424	1666165	11.263550	3.813480	8.203990
ENSGALG00010006845	CALML3	1	-	1670884	1673613	0.100765	0.019711	0.042406
ENSGALG00010006853	NET1	1	-	1675660	1727713	95.659836	25.195883	54.204235
ENSGALG00010006901	TUBAL3	1	+	1727414	1743448	9.946952	4.862483	10.460723
ENSGALG00010007604	-	1	-	1746263	1746919	3.287671	0.643129	1.383571
ENSGALG00010006927	UCN3	1	-	1751070	1756067	0.000000	0.000000	0.000000
ENSGALG00010007596	-	1	-	2779998	2786241	0.215643	0.042184	0.090750
ENSGALG00010005317	CHCHD3	1	+	2511285	2721092	93.043739	64.731667	139.258102
ENSGALG00010005325	-	1	+	2548862	2549295	0.000000	0.000000	0.000000
ENSGALG00010005327	-	1	-	2563262	2565533	0.000000	0.000000	0.000000
ENSGALG00010005331	-	1	+	2565122	2565555	0.000000	0.000000	0.000000
ENSGALG00010005333	PLXNA4	1	+	2830528	3278055	6.049709	1.183434	2.545936
ENSGALG00010007638	-	1	+	3278843	3284954	5.841612	1.142726	2.458362
ENSGALG00010007779	-	1	-	4691803	4696828	0.391235	0.197183	0.424203
ENSGALG00010007672	-	1	-	4467495	4471960	1.728168	0.338061	0.727276
ENSGALG00010005239	-	1	-	4474992	4533237	1.029919	0.388052	0.834822
ENSGALG00010007850	-	1	-	4532990	4570880	0.493160	0.201507	0.433504
ENSGALG00010005409	PRKCQ	1	-	4208592	4263414	209.682800	41.830166	89.989784
ENSGALG00010007644	-	1	-	3600004	3621292	0.000000	0.000000	0.000000
ENSGALG00010007646	-	1	-	3624558	3635896	0.000000	0.000000	0.000000
ENSGALG00010006076	PODXL	1	+	3637224	3677367	152.900131	69.684006	149.912109
ENSGALG00010006108	MKLN1	1	-	3685585	3784877	57.734432	11.977322	25.766970
ENSGALG00010007768	-	1	+	3785068	3815897	3.389190	1.602081	3.446577
ENSGALG00010007653	-	1	-	3786495	3924972	6.874218	1.344723	2.892920
ENSGALG00010007647	-	1	-	3808459	3812034	0.000000	0.000000	0.000000
ENSGALG00010007648	-	1	+	3834476	3836494	0.000000	0.000000	0.000000
ENSGALG00010007769	-	1	+	3856598	3968684	0.032977	0.027596	0.059369
ENSGALG00010007649	-	1	+	3859701	3861189	0.000000	0.000000	0.000000
ENSGALG00010007656	-	1	-	3934742	3944075	0.000000	0.000000	0.000000
ENSGALG00010007659	-	1	-	3946584	3948670	0.469375	0.091818	0.197530
ENSGALG00010007664	-	1	+	3950601	3953563	0.214882	0.042035	0.090430
ENSGALG00010007829	gga-mir-29b-1	1	+	3978160	3978240	0.000000	0.000000	0.000000
ENSGALG00010007834	gga-mir-29a	1	+	3979177	3979265	0.000000	0.000000	0.000000
ENSGALG00010006134	K123	1	+	4010284	4020407	4.657104	2.139904	4.603602
ENSGALG00010006175	IL2RA	1	-	4023671	4043101	20.570408	6.343859	13.647627
ENSGALG00010007773	-	1	-	4043328	4060824	0.000000	0.000000	0.000000
ENSGALG00010006193	RBM17	1	+	4060982	4074836	39.864975	9.305855	20.019806
ENSGALG00010007775	-	1	+	4076971	4086402	0.177822	0.076041	0.163587
ENSGALG00010006245	PFKFB3	1	+	4087559	4127133	70.457443	29.754477	64.011192
ENSGALG00010005232	GATA3	1	+	5010201	5037186	2.514141	0.491812	1.058041
ENSGALG00010007790	-	1	-	5778902	5817307	0.021782	0.006430	0.013833
ENSGALG00010005292	TAF3	1	+	4874712	4988615	55.229229	10.803846	23.242456
ENSGALG00010005254	-	1	+	4697074	4727929	0.993371	0.248806	0.535259
ENSGALG00010007857	-	1	+	4737283	4767484	8.579007	1.808256	3.890125
ENSGALG00010005258	ITIH5	1	-	4769263	4816844	195.711288	38.284706	82.362396
ENSGALG00010005264	ITIH2	1	+	4773014	4850695	0.979255	0.256048	0.550840
ENSGALG00010005269	KIN	1	-	4847710	4865308	12.979880	2.539102	5.462403
ENSGALG00010005283	ATP5C1	1	+	4865121	4872309	277.716797	130.634750	281.036224
ENSGALG00010007696	-	1	+	6733200	6735473	0.131926	0.025807	0.055519
ENSGALG00010007697	-	1	-	6736526	6737937	0.000000	0.000000	0.000000
ENSGALG00010007700	-	1	+	6736725	6740694	0.000000	0.000000	0.000000
ENSGALG00010007701	-	1	-	6740590	6749949	0.000000	0.000000	0.000000
ENSGALG00010005651	USP6NL	1	-	6621627	6732020	3.759795	4.219562	9.077598
ENSGALG00010005619	CELF2	1	+	6010280	6565885	0.981310	13.085059	28.150059
ENSGALG00010007832	gga-mir-1626	1	+	6281599	6281688	0.000000	0.000000	0.000000
ENSGALG00010007837	gga-mir-1596	1	+	6399975	6400064	0.000000	0.000000	0.000000
ENSGALG00010007692	-	1	-	6568867	6614600	3.950821	0.772853	1.662648
ENSGALG00010007693	-	1	+	6588953	6592295	0.000000	0.000000	0.000000
ENSGALG00010007694	-	1	+	6592524	6594159	0.000000	0.000000	0.000000
ENSGALG00010007702	-	1	+	6750886	6751971	1.625121	0.317903	0.683910
ENSGALG00010005705	ECHDC3	1	+	6752040	6756793	129.265350	25.286667	54.399536
ENSGALG00010005724	PROSER2	1	+	6774550	6799357	30.446255	5.963726	12.829842
ENSGALG00010007704	-	1	-	6799588	6803528	0.773389	0.215309	0.463196
ENSGALG00010005814	UPF2	1	-	6805169	6860584	47.671139	10.905550	23.461252
ENSGALG00010007705	-	1	-	6860883	6864704	4.295252	0.840230	1.807597
ENSGALG00010007883	DHTKD1	1	+	6864841	6881761	40.938377	8.092615	17.409748
ENSGALG00010005831	SEC61A2	1	+	6888415	6904582	82.648590	21.724554	46.736317
ENSGALG00010005926	NUDT5	1	-	6904751	6916347	8.649471	3.089326	6.646107
ENSGALG00010006015	CDC123	1	+	6916348	6954293	19.599112	3.888111	8.364543
ENSGALG00010005360	CAMK1D	1	+	6978139	7202455	3.208716	9.567878	20.583500
ENSGALG00010007799	-	1	-	7876677	7880585	0.073382	0.030457	0.065523
ENSGALG00010005879	FAM107B	1	-	7880749	7943999	1.747080	2.867650	6.169212
ENSGALG00010005368	CCDC3	1	-	7213806	7254935	11.326238	2.250261	4.841017
ENSGALG00010007797	-	1	+	7262558	7271335	0.094237	0.020928	0.045023
ENSGALG00010005383	OPTN	1	+	7280861	7300290	611.621826	119.695480	257.502441
ENSGALG00010005389	MCM10	1	+	7303900	7320874	6.980769	1.365566	2.937760
ENSGALG00010005394	PHYH	1	-	7309200	7335507	95.896309	65.844795	141.652771
ENSGALG00010007709	-	1	-	7339449	7341805	1.685814	0.329776	0.709451
ENSGALG00010005398	SEPHS1	1	-	7341829	7363872	62.818272	12.288403	26.436201
ENSGALG00010007710	-	1	-	7364335	7366759	5.223307	1.462610	3.146532
ENSGALG00010007712	-	1	+	7366016	7373257	0.000000	0.000000	0.000000
ENSGALG00010005404	BEND7	1	-	7379578	7427859	24.423052	9.308798	20.026138
ENSGALG00010005699	PRPF18	1	+	7439485	7456718	36.210072	10.605069	22.814823
ENSGALG00010005800	FRMD4A	1	-	7458576	7816711	18.525965	6.851727	14.740210
ENSGALG00010007843	gga-mir-1460	1	-	7543504	7543600	0.000000	0.000000	0.000000
ENSGALG00010006032	MEIG1	1	+	8059870	8071710	0.156659	0.081150	0.174580
ENSGALG00010005964	HSPA14	1	+	8026709	8037672	27.022902	7.685137	16.533136
ENSGALG00010005979	SUV39H2	1	+	8039123	8048874	19.578053	3.829825	8.239153
ENSGALG00010006004	DCLRE1C	1	-	8046903	8059742	1.149624	0.314923	0.677497
ENSGALG00010005425	ELAPOR2	1	+	8146280	8238788	2.181040	0.426651	0.917861
ENSGALG00010007729	-	1	+	8774867	8883875	0.000000	0.000000	0.000000
ENSGALG00010006053	TMEM243	1	+	8076827	8083882	1.970548	1.402872	3.018016
ENSGALG00010006064	DMTF1	1	-	8083795	8112422	18.292471	3.927027	8.448266
ENSGALG00010007725	-	1	+	8556893	8712572	0.000000	0.000000	0.000000
ENSGALG00010007726	-	1	+	8610578	8612820	0.000000	0.000000	0.000000
ENSGALG00010007807	-	1	-	8682450	8742799	0.017644	0.067201	0.144571
ENSGALG00010007734	-	1	+	9045357	9047667	0.646041	0.126377	0.271877
ENSGALG00010005457	SEMA3D	1	+	8899137	9042001	10.980774	6.482810	13.946554
ENSGALG00010006251	SEMA3E	1	+	9710219	9842463	0.502829	0.098363	0.211609
ENSGALG00010006261	PCLO	1	+	9939108	10265201	0.026801	0.005243	0.011279
ENSGALG00010005470	SEMA3A	1	+	9238173	9574359	9.348845	6.192529	13.322068
