Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSGALG00010007764	-	1	-	925866	930811	0.000000	0.000000	0.000000
ENSGALG00010007760	-	1	+	925866	931087	0.000000	0.000000	0.000000
ENSGALG00010007613	-	1	-	50911	55356	57.276054	23.693798	61.966934
ENSGALG00010007615	-	1	+	51038	52955	1.888699	0.387295	1.012902
ENSGALG00010005414	-	1	-	56535	61129	9.879324	2.025846	5.298242
ENSGALG00010005419	-	1	-	67865	69817	3.708743	0.760512	1.988984
ENSGALG00010007874	-	1	-	70300	79479	0.823082	0.804008	2.102740
ENSGALG00010005420	DHRS4	1	+	79726	86101	62.303703	12.775946	33.413223
ENSGALG00010007825	U2	1	-	87932	88122	0.000000	0.000000	0.000000
ENSGALG00010007820	U2	1	-	92770	92960	0.000000	0.000000	0.000000
ENSGALG00010007824	U2	1	-	97620	97810	0.000000	0.000000	0.000000
ENSGALG00010007823	U2	1	-	102476	102666	0.000000	0.000000	0.000000
ENSGALG00010007822	U2	1	-	107338	107528	0.000000	0.000000	0.000000
ENSGALG00010007813	U2	1	-	112199	112389	0.000000	0.000000	0.000000
ENSGALG00010007827	U2	1	-	117042	117232	0.000000	0.000000	0.000000
ENSGALG00010007814	U2	1	-	121885	122075	0.000000	0.000000	0.000000
ENSGALG00010007816	U2	1	-	126722	126912	0.000000	0.000000	0.000000
ENSGALG00010007123	-	1	-	130434	335145	28.869331	5.919921	15.482506
ENSGALG00010007126	-	1	-	137726	140009	1.082973	0.222074	0.580794
ENSGALG00010007137	-	1	+	142613	146749	22.615347	4.637485	12.128518
ENSGALG00010007160	-	1	-	163071	167700	38.820381	11.717671	30.645494
ENSGALG00010007182	-	1	+	218643	251034	19.353848	3.968684	10.379391
ENSGALG00010007165	-	1	+	219451	220975	2.894038	0.593449	1.552061
ENSGALG00010007320	-	1	+	248230	292245	68.041954	21.201239	55.448086
ENSGALG00010007230	-	1	+	283928	323551	0.297588	0.207483	0.542634
ENSGALG00010007339	-	1	+	295945	438633	4.750048	2.909422	7.609078
ENSGALG00010007115	-	1	-	302853	433386	1.256360	10.189983	26.650097
ENSGALG00010007387	-	1	-	325396	427848	0.131863	0.032855	0.085926
ENSGALG00010007398	-	1	-	347657	364453	2.433606	0.499033	1.305133
ENSGALG00010007400	-	1	+	364863	372064	0.326379	0.066927	0.175036
ENSGALG00010007287	-	1	-	389282	409349	0.062406	0.044501	0.116385
ENSGALG00010007369	-	1	-	429352	445284	19.751980	4.194270	10.969370
ENSGALG00010007405	-	1	-	446199	451266	2.325030	0.476769	1.246904
ENSGALG00010007895	-	1	+	460818	493919	29.709408	6.092186	15.933035
ENSGALG00010007408	HCLS1	1	+	495465	507494	5.261629	1.152034	3.012941
ENSGALG00010007415	-	1	-	508667	510645	0.000000	0.000000	0.000000
ENSGALG00010007616	-	1	-	514291	516013	2.570016	0.527005	1.378289
ENSGALG00010007418	-	1	-	518639	524104	11.381948	2.333973	6.104093
ENSGALG00010007419	RABL2A	1	+	524168	528088	17.981655	4.013443	10.496450
ENSGALG00010007422	ACR	1	-	529038	531495	0.238134	0.048832	0.127710
ENSGALG00010007425	-	1	-	532310	537908	31.051771	6.367451	16.652939
ENSGALG00010007427	-	1	-	539693	541500	0.000000	0.000000	0.000000
ENSGALG00010007617	-	1	-	542460	550463	0.000000	0.000000	0.000000
ENSGALG00010007618	-	1	+	542866	550108	0.000000	0.000000	0.000000
ENSGALG00010007620	-	1	-	556359	558414	0.309271	0.063419	0.165861
ENSGALG00010007756	-	1	+	557235	571867	0.230670	0.283806	0.742244
ENSGALG00010007842	gga-mir-12207	1	+	558308	558368	0.022741	0.004663	0.012196
ENSGALG00010007457	-	1	+	572048	841165	24.609480	6.750027	17.653502
ENSGALG00010007589	-	1	+	685314	687814	0.000000	0.000000	0.000000
ENSGALG00010007591	-	1	+	709288	710561	0.000000	0.000000	0.000000
ENSGALG00010007839	gga-mir-6708	1	+	709518	709627	0.000000	0.000000	0.000000
ENSGALG00010007831	gga-mir-1604	1	+	734201	734297	0.000000	0.000000	0.000000
ENSGALG00010007621	-	1	-	842095	846151	13.439095	2.755810	7.207332
ENSGALG00010007592	-	1	+	915875	917023	0.000000	0.000000	0.000000
ENSGALG00010006992	SLC35B4	1	+	1880144	1894788	30.076395	7.974852	20.856813
ENSGALG00010006267	-	1	-	974689	976229	0.000000	0.000000	0.000000
ENSGALG00010006271	-	1	+	975636	990270	0.000000	0.000000	0.000000
ENSGALG00010006288	ARF5	1	-	994952	1005857	9.150531	3.234596	8.459514
ENSGALG00010006300	GCC1	1	+	1006145	1011082	22.470043	4.623266	12.091333
ENSGALG00010006327	DENND6B	1	-	1012031	1031248	48.194401	13.859578	36.247272
ENSGALG00010007622	-	1	-	1031349	1032595	0.849778	0.174255	0.455732
ENSGALG00010006347	PPP6R2	1	+	1038409	1106230	62.756329	16.993797	44.444267
ENSGALG00010007836	gga-mir-1651	1	+	1082968	1083051	0.000000	0.000000	0.000000
ENSGALG00010007627	-	1	+	1109037	1111632	0.513404	0.105278	0.275336
ENSGALG00010007625	-	1	-	1109037	1112839	2.897017	0.594060	1.553658
ENSGALG00010007628	-	1	-	1114697	1118581	0.000000	0.000000	0.000000
ENSGALG00010007630	-	1	+	1115318	1118412	1.164358	0.238762	0.624440
ENSGALG00010006372	SBF1	1	-	1119149	1184682	104.570160	23.616507	61.764790
ENSGALG00010006410	ADM2	1	+	1180836	1183491	0.000000	0.000000	0.000000
ENSGALG00010007888	MIOX	1	+	1183559	1192714	0.861826	0.237957	0.622335
ENSGALG00010006421	LMF2	1	-	1188298	1195071	180.781006	37.678474	98.541374
ENSGALG00010006457	NCAPH2	1	+	1194787	1204682	9.041865	2.188772	5.724345
ENSGALG00010006463	SCO2	1	-	1198695	1205558	28.750902	5.895636	15.418992
ENSGALG00010005486	IRF5	1	+	1207489	1217633	3.212089	0.788428	2.061994
ENSGALG00010005492	TNPO3	1	-	1217871	1235442	98.520477	20.202526	52.836136
ENSGALG00010005496	-	1	+	1217956	1218986	0.000000	0.000000	0.000000
ENSGALG00010005498	SMO	1	+	1241559	1250136	281.066406	57.635242	150.734772
ENSGALG00010005511	AHCYL2	1	+	1251070	1295883	6.323081	9.475636	24.781847
ENSGALG00010005524	STRIP2	1	+	1296520	1312008	34.582035	7.823232	20.460276
ENSGALG00010007597	SMKR1	1	+	1319747	1319947	4.825979	0.989611	2.588153
ENSGALG00010007631	-	1	-	1321714	1328961	1.572331	0.322421	0.843235
ENSGALG00010005546	NRF1	1	+	1330243	1378306	10.523910	5.072686	13.266711
ENSGALG00010007840	gga-mir-182	1	-	1380872	1380953	0.000000	0.000000	0.000000
ENSGALG00010007828	gga-mir-96	1	-	1381942	1382027	0.000000	0.000000	0.000000
ENSGALG00010007838	gga-mir-183	1	-	1382053	1382150	0.000000	0.000000	0.000000
ENSGALG00010006496	UBE2H	1	-	1391671	1435875	104.702576	37.838398	98.959625
ENSGALG00010006528	ZC3HC1	1	-	1436603	1446071	24.819239	6.656128	17.407925
ENSGALG00010006532	KLHDC10	1	+	1446328	1461719	29.261644	6.000369	15.692902
ENSGALG00010006536	-	1	-	1462130	1468425	0.000000	0.000000	0.000000
ENSGALG00010006548	TMEM209	1	-	1471509	1483335	21.120516	5.071436	13.263444
ENSGALG00010006552	CPA2	1	+	1487539	1498010	0.000000	0.000000	0.000000
ENSGALG00010006563	-	1	+	1488938	1490204	0.000000	0.000000	0.000000
ENSGALG00010006566	CPA5	1	+	1497904	1502453	0.000000	0.000000	0.000000
ENSGALG00010006574	CPA1	1	+	1503030	1507277	0.000000	0.000000	0.000000
ENSGALG00010006581	CEP41	1	-	1507199	1516893	6.354483	1.324678	3.464459
ENSGALG00010006603	MEST	1	+	1517049	1522232	3.519490	1.041244	2.723190
