Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSGALG00010007613	-	1	-	50911	55356	63.532120	25.332018	67.438744
ENSGALG00010007615	-	1	+	51038	52955	2.001894	0.411296	1.094949
ENSGALG00010005414	-	1	-	56535	61129	15.757665	3.237463	8.618755
ENSGALG00010005419	-	1	-	67865	69817	3.423379	0.703344	1.872439
ENSGALG00010007874	-	1	-	70300	79479	1.086896	1.442914	3.841316
ENSGALG00010005420	DHRS4	1	+	79726	86101	60.341957	12.397450	33.004417
ENSGALG00010007825	U2	1	-	87932	88122	0.000000	0.000000	0.000000
ENSGALG00010007820	U2	1	-	92770	92960	0.000000	0.000000	0.000000
ENSGALG00010007823	U2	1	-	102476	102666	0.000000	0.000000	0.000000
ENSGALG00010007822	U2	1	-	107338	107528	0.000000	0.000000	0.000000
ENSGALG00010007813	U2	1	-	112199	112389	0.000000	0.000000	0.000000
ENSGALG00010007827	U2	1	-	117042	117232	0.000000	0.000000	0.000000
ENSGALG00010007814	U2	1	-	121885	122075	0.000000	0.000000	0.000000
ENSGALG00010007816	U2	1	-	126722	126912	0.000000	0.000000	0.000000
ENSGALG00010007123	-	1	-	130434	335145	18.749392	3.852123	10.255100
ENSGALG00010007126	-	1	-	137726	140009	1.127530	0.231655	0.616710
ENSGALG00010007137	-	1	+	142613	146749	15.387343	3.161380	8.416205
ENSGALG00010007160	-	1	-	163071	167700	27.011690	8.177947	21.771282
ENSGALG00010007182	-	1	+	218643	251034	15.029655	3.087892	8.220566
ENSGALG00010007165	-	1	+	219451	220975	9.208529	1.891922	5.036664
ENSGALG00010007320	-	1	+	248230	292245	50.588200	15.829227	42.140472
ENSGALG00010007230	-	1	+	283928	323551	0.295148	0.216388	0.576067
ENSGALG00010007339	-	1	+	295945	438633	4.488220	3.919547	10.434593
ENSGALG00010007115	-	1	-	302853	433386	3.624927	30.036726	79.963600
ENSGALG00010007387	-	1	-	325396	427848	0.284532	0.074694	0.198851
ENSGALG00010007398	-	1	-	347657	364453	0.684848	0.140704	0.374582
ENSGALG00010007400	-	1	+	364863	372064	0.000000	0.000000	0.000000
ENSGALG00010007287	-	1	-	389282	409349	40.936790	20.081411	53.460617
ENSGALG00010007369	-	1	-	429352	445284	24.093668	5.316724	14.154150
ENSGALG00010007405	-	1	-	446199	451266	0.518421	0.106511	0.283554
ENSGALG00010007895	-	1	+	460818	493919	31.552408	6.482544	17.257792
ENSGALG00010007408	HCLS1	1	+	495465	507494	3.420492	0.801627	2.134085
ENSGALG00010006548	TMEM209	1	-	1471509	1483335	21.133741	5.057536	13.464142
ENSGALG00010006574	CPA1	1	+	1503030	1507277	0.000000	0.000000	0.000000
ENSGALG00010006581	CEP41	1	-	1507199	1516893	6.228947	1.301003	3.463523
ENSGALG00010006603	MEST	1	+	1517049	1522232	3.601027	1.025526	2.730149
ENSGALG00010006616	COPG2	1	-	1520366	1541146	49.768848	12.915927	34.384705
ENSGALG00010006625	-	1	+	1553290	1554517	0.000000	0.000000	0.000000
ENSGALG00010007632	-	1	+	1555556	1557316	5.004310	1.028152	2.737139
ENSGALG00010006633	FBXO18	1	-	1557860	1582406	17.890745	3.763400	10.018901
ENSGALG00010006670	ANKRD16	1	+	1582631	1597555	12.353745	3.123035	8.314126
ENSGALG00010007891	GDI1	1	+	1600071	1614883	470.683960	96.703552	257.443604
ENSGALG00010006760	TASOR2	1	-	1602495	1648631	13.019271	5.246272	13.966594
ENSGALG00010007634	-	1	+	1651491	1654378	0.000000	0.000000	0.000000
ENSGALG00010007616	-	1	-	514291	516013	1.282423	0.263478	0.701429
ENSGALG00010007418	-	1	-	518639	524104	11.553181	2.373638	6.319086
ENSGALG00010007419	RABL2A	1	+	524168	528088	17.390329	3.572900	9.511752
ENSGALG00010007422	ACR	1	-	529038	531495	0.423974	0.087107	0.231895
ENSGALG00010007425	-	1	-	532310	537908	28.706314	5.897805	15.701102
ENSGALG00010007427	-	1	-	539693	541500	0.000000	0.000000	0.000000
ENSGALG00010007617	-	1	-	542460	550463	0.000000	0.000000	0.000000
ENSGALG00010007618	-	1	+	542866	550108	0.000000	0.000000	0.000000
ENSGALG00010007620	-	1	-	556359	558414	0.431332	0.088619	0.235920
ENSGALG00010007756	-	1	+	557235	571867	0.194879	0.240231	0.639541
ENSGALG00010007842	gga-mir-12207	1	+	558308	558368	0.000092	0.000019	0.000050
ENSGALG00010007457	-	1	+	572048	841165	25.120016	6.908756	18.392448
ENSGALG00010007589	-	1	+	685314	687814	0.000000	0.000000	0.000000
ENSGALG00010007591	-	1	+	709288	710561	0.000000	0.000000	0.000000
ENSGALG00010007839	gga-mir-6708	1	+	709518	709627	0.000000	0.000000	0.000000
ENSGALG00010007831	gga-mir-1604	1	+	734201	734297	0.000000	0.000000	0.000000
ENSGALG00010007621	-	1	-	842095	846151	13.900126	2.855826	7.602763
ENSGALG00010007592	-	1	+	915875	917023	0.000000	0.000000	0.000000
ENSGALG00010007764	-	1	-	925866	930811	0.000000	0.000000	0.000000
ENSGALG00010007760	-	1	+	925866	931087	0.000000	0.000000	0.000000
ENSGALG00010006267	-	1	-	974689	976229	0.000000	0.000000	0.000000
ENSGALG00010006271	-	1	+	975636	990270	0.000000	0.000000	0.000000
ENSGALG00010006288	ARF5	1	-	994952	1005857	13.795093	4.934232	13.135882
ENSGALG00010006300	GCC1	1	+	1006145	1011082	21.041122	4.326501	11.517986
ENSGALG00010006327	DENND6B	1	-	1012031	1031248	47.820061	13.777843	36.679291
