Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSGALG00010007606	-	1	-	10	13876	0.000000	0.000000	0.000000
ENSGALG00010007611	-	1	+	13537	17106	0.086256	0.016877	0.043871
ENSGALG00010007612	-	1	-	16762	19598	0.000000	0.000000	0.000000
ENSGALG00010005414	-	1	-	56535	61129	10.711085	2.095790	5.447755
ENSGALG00010005419	-	1	-	67865	69817	5.619843	1.099609	2.858303
ENSGALG00010007874	-	1	-	70300	79479	0.889828	1.176001	3.056874
ENSGALG00010007613	-	1	-	50911	55356	59.356686	21.327524	55.438347
ENSGALG00010007615	-	1	+	51038	52955	2.537207	0.496444	1.290447
ENSGALG00010007825	U2	1	-	87932	88122	0.122455	0.023960	0.062282
ENSGALG00010007820	U2	1	-	92770	92960	0.122455	0.023960	0.062282
ENSGALG00010005420	DHRS4	1	+	79726	86101	62.229774	12.176220	31.650629
ENSGALG00010007824	U2	1	-	97620	97810	0.177429	0.034717	0.090242
ENSGALG00010007823	U2	1	-	102476	102666	0.232403	0.045473	0.118202
ENSGALG00010007822	U2	1	-	107338	107528	0.220361	0.043117	0.112078
ENSGALG00010007813	U2	1	-	112199	112389	0.275335	0.053874	0.140038
ENSGALG00010007827	U2	1	-	117042	117232	0.275334	0.053873	0.140037
ENSGALG00010007814	U2	1	-	121885	122075	0.275335	0.053874	0.140038
ENSGALG00010007816	U2	1	-	126722	126912	0.220361	0.043117	0.112078
ENSGALG00010007408	HCLS1	1	+	495465	507494	4.834661	1.079948	2.807195
ENSGALG00010007895	-	1	+	460818	493919	27.430712	5.367244	13.951509
ENSGALG00010007616	-	1	-	514291	516013	2.616041	0.511869	1.330542
ENSGALG00010007418	-	1	-	518639	524104	19.945562	3.902658	10.144494
ENSGALG00010007419	RABL2A	1	+	524168	528088	15.829140	3.111109	8.086955
ENSGALG00010007422	ACR	1	-	529038	531495	0.000000	0.000000	0.000000
ENSGALG00010007425	-	1	-	532310	537908	36.702461	7.181406	18.667204
ENSGALG00010007123	-	1	-	130434	335145	29.116348	5.697065	14.808839
ENSGALG00010007126	-	1	-	137726	140009	1.775483	0.347401	0.903027
ENSGALG00010007137	-	1	+	142613	146749	28.320843	5.541412	14.404237
ENSGALG00010007160	-	1	-	163071	167700	34.646702	9.996541	25.984816
ENSGALG00010007182	-	1	+	218643	251034	26.145803	5.115832	13.297993
