Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSGALG00010007606	-	1	-	10	13876	0.000000	0.000000	0.000000
ENSGALG00010007611	-	1	+	13537	17106	0.000000	0.000000	0.000000
ENSGALG00010007612	-	1	-	16762	19598	0.000000	0.000000	0.000000
ENSGALG00010007613	-	1	-	50911	55356	23.869326	9.577865	19.905197
ENSGALG00010007615	-	1	+	51038	52955	1.512237	0.313690	0.651926
ENSGALG00010007825	U2	1	-	87932	88122	0.230948	0.047907	0.099562
ENSGALG00010007820	U2	1	-	92770	92960	0.230948	0.047907	0.099562
ENSGALG00010005414	-	1	-	56535	61129	2.965409	0.615128	1.278389
ENSGALG00010005419	-	1	-	67865	69817	1.949902	0.404477	0.840603
ENSGALG00010007874	-	1	-	70300	79479	0.307367	0.359444	0.747015
ENSGALG00010005420	DHRS4	1	+	79726	86101	28.010090	5.810254	12.075160
ENSGALG00010007824	U2	1	-	97620	97810	0.230948	0.047907	0.099562
ENSGALG00010005486	IRF5	1	+	1207489	1217633	12.785714	3.173186	6.594674
ENSGALG00010005492	TNPO3	1	-	1217871	1235442	123.505478	25.619274	53.243259
ENSGALG00010005496	-	1	+	1217956	1218986	0.000000	0.000000	0.000000
ENSGALG00010007597	SMKR1	1	+	1319747	1319947	2.507463	0.520134	1.080968
ENSGALG00010007631	-	1	-	1321714	1328961	1.327373	0.275343	0.572231
ENSGALG00010005546	NRF1	1	+	1330243	1378306	19.056664	9.825811	20.420492
ENSGALG00010005498	SMO	1	+	1241559	1250136	191.023544	39.624840	82.350327
ENSGALG00010005511	AHCYL2	1	+	1251070	1295883	10.007552	15.128549	31.440905
ENSGALG00010005524	STRIP2	1	+	1296520	1312008	16.136786	3.866178	8.034884
ENSGALG00010007840	gga-mir-182	1	-	1380872	1380953	0.000000	0.000000	0.000000
ENSGALG00010007828	gga-mir-96	1	-	1381942	1382027	0.000000	0.000000	0.000000
ENSGALG00010007838	gga-mir-183	1	-	1382053	1382150	0.000000	0.000000	0.000000
ENSGALG00010006496	UBE2H	1	-	1391671	1435875	95.972130	35.813129	74.428635
ENSGALG00010007823	U2	1	-	102476	102666	0.230948	0.047907	0.099562
ENSGALG00010007822	U2	1	-	107338	107528	0.230949	0.047907	0.099562
ENSGALG00010007813	U2	1	-	112199	112389	0.230948	0.047907	0.099562
ENSGALG00010007827	U2	1	-	117042	117232	0.230948	0.047907	0.099562
ENSGALG00010007814	U2	1	-	121885	122075	0.230950	0.047907	0.099563
ENSGALG00010007816	U2	1	-	126722	126912	0.230948	0.047907	0.099562
ENSGALG00010007123	-	1	-	130434	335145	39.882996	8.273102	17.193575
ENSGALG00010007126	-	1	-	137726	140009	0.025756	0.005343	0.011103
ENSGALG00010007137	-	1	+	142613	146749	22.852272	4.740345	9.851623
ENSGALG00010007160	-	1	-	163071	167700	68.512245	20.798994	43.225510
ENSGALG00010007182	-	1	+	218643	251034	17.579779	3.646649	7.578649
ENSGALG00010007165	-	1	+	219451	220975	9.336636	1.936739	4.025027
ENSGALG00010007320	-	1	+	248230	292245	109.309692	33.611286	69.852654
ENSGALG00010007230	-	1	+	283928	323551	0.234909	0.180527	0.375179
ENSGALG00010007339	-	1	+	295945	438633	7.476154	7.169719	14.900469
ENSGALG00010007115	-	1	-	302853	433386	3.424172	28.265942	58.743694
ENSGALG00010007387	-	1	-	325396	427848	0.013761	0.004496	0.009344
ENSGALG00010007398	-	1	-	347657	364453	0.000000	0.000000	0.000000
ENSGALG00010007400	-	1	+	364863	372064	0.000000	0.000000	0.000000
ENSGALG00010007287	-	1	-	389282	409349	33.443279	17.865250	37.128452
ENSGALG00010007369	-	1	-	429352	445284	13.377989	2.881115	5.987678
ENSGALG00010007405	-	1	-	446199	451266	0.000000	0.000000	0.000000
ENSGALG00010007895	-	1	+	460818	493919	12.840576	2.663576	5.535577
ENSGALG00010007408	HCLS1	1	+	495465	507494	20.497902	4.528496	9.411346
ENSGALG00010007415	-	1	-	508667	510645	0.000000	0.000000	0.000000
ENSGALG00010007616	-	1	-	514291	516013	2.710161	0.562180	1.168351
ENSGALG00010007418	-	1	-	518639	524104	7.241594	1.502155	3.121854
ENSGALG00010007419	RABL2A	1	+	524168	528088	6.897812	1.430843	2.973649
ENSGALG00010007422	ACR	1	-	529038	531495	0.597242	0.123888	0.257471
ENSGALG00010007425	-	1	-	532310	537908	19.755024	4.097870	8.516398
ENSGALG00010007427	-	1	-	539693	541500	0.000000	0.000000	0.000000
ENSGALG00010007617	-	1	-	542460	550463	0.000000	0.000000	0.000000
ENSGALG00010007618	-	1	+	542866	550108	0.000000	0.000000	0.000000
ENSGALG00010007620	-	1	-	556359	558414	0.326281	0.067682	0.140660
ENSGALG00010007756	-	1	+	557235	571867	0.219637	0.273361	0.568113
ENSGALG00010007842	gga-mir-12207	1	+	558308	558368	0.000000	0.000000	0.000000
ENSGALG00010007457	-	1	+	572048	841165	19.868635	5.510282	11.451742
ENSGALG00010007589	-	1	+	685314	687814	0.000000	0.000000	0.000000
ENSGALG00010007591	-	1	+	709288	710561	0.000000	0.000000	0.000000
ENSGALG00010007839	gga-mir-6708	1	+	709518	709627	0.000000	0.000000	0.000000
ENSGALG00010007831	gga-mir-1604	1	+	734201	734297	0.000000	0.000000	0.000000
ENSGALG00010007621	-	1	-	842095	846151	9.557558	1.982566	4.120267
ENSGALG00010007592	-	1	+	915875	917023	0.000000	0.000000	0.000000
ENSGALG00010007764	-	1	-	925866	930811	0.000000	0.000000	0.000000
ENSGALG00010007760	-	1	+	925866	931087	0.000000	0.000000	0.000000
ENSGALG00010006267	-	1	-	974689	976229	0.000000	0.000000	0.000000
ENSGALG00010006271	-	1	+	975636	990270	0.000000	0.000000	0.000000
ENSGALG00010006288	ARF5	1	-	994952	1005857	2.698216	0.841626	1.749109
ENSGALG00010006300	GCC1	1	+	1006145	1011082	13.242224	2.749138	5.713396
ENSGALG00010006327	DENND6B	1	-	1012031	1031248	18.884939	5.658888	11.760584
ENSGALG00010007622	-	1	-	1031349	1032595	0.491155	0.101882	0.211737
ENSGALG00010006347	PPP6R2	1	+	1038409	1106230	142.632568	38.981197	81.012680
ENSGALG00010007836	gga-mir-1651	1	+	1082968	1083051	0.000000	0.000000	0.000000
ENSGALG00010007627	-	1	+	1109037	1111632	0.386460	0.080165	0.166603
ENSGALG00010007625	-	1	-	1109037	1112839	7.524031	1.560742	3.243613
ENSGALG00010007628	-	1	-	1114697	1118581	0.736042	0.152680	0.317308
ENSGALG00010007630	-	1	+	1115318	1118412	1.152044	0.238973	0.496647
ENSGALG00010006372	SBF1	1	-	1119149	1184682	91.509979	20.922167	43.481495
ENSGALG00010006410	ADM2	1	+	1180836	1183491	0.000000	0.000000	0.000000
ENSGALG00010007888	MIOX	1	+	1183559	1192714	0.281730	0.078689	0.163535
ENSGALG00010006421	LMF2	1	-	1188298	1195071	78.473701	16.491499	34.273460
ENSGALG00010006457	NCAPH2	1	+	1194787	1204682	1.923198	0.473280	0.983593
ENSGALG00010006463	SCO2	1	-	1198695	1205558	7.869244	1.632351	3.392434
ENSGALG00010006845	CALML3	1	-	1670884	1673613	0.118064	0.024491	0.050897
ENSGALG00010007636	-	1	+	1760470	1762722	0.384174	0.079691	0.165618
ENSGALG00010006948	-	1	-	1765363	1860279	0.046229	0.010123	0.021037
ENSGALG00010007833	gga-mir-205b	1	-	1811738	1811835	0.000000	0.000000	0.000000
ENSGALG00010007000	LRGUK	1	-	1901224	1950378	0.076802	0.015931	0.033109
ENSGALG00010006853	NET1	1	-	1675660	1727713	87.693558	24.510534	50.939014
ENSGALG00010006901	TUBAL3	1	+	1727414	1743448	7.214808	3.662698	7.612002
