Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSGALG00010007606	-	1	-	10	13876	0.000000	0.000000	0.000000
ENSGALG00010007611	-	1	+	13537	17106	0.000000	0.000000	0.000000
ENSGALG00010007612	-	1	-	16762	19598	0.000000	0.000000	0.000000
ENSGALG00010007613	-	1	-	50911	55356	58.766430	24.067287	61.947609
ENSGALG00010007615	-	1	+	51038	52955	2.213662	0.456197	1.174221
ENSGALG00010006288	ARF5	1	-	994952	1005857	19.995911	7.123535	18.335508
ENSGALG00010007620	-	1	-	556359	558414	0.693174	0.142851	0.367689
ENSGALG00010007756	-	1	+	557235	571867	0.208131	0.257353	0.662409
ENSGALG00010007842	gga-mir-12207	1	+	558308	558368	0.000000	0.000000	0.000000
ENSGALG00010007457	-	1	+	572048	841165	23.809998	6.558816	16.881962
ENSGALG00010007589	-	1	+	685314	687814	0.000000	0.000000	0.000000
ENSGALG00010007591	-	1	+	709288	710561	0.000000	0.000000	0.000000
ENSGALG00010007839	gga-mir-6708	1	+	709518	709627	0.000000	0.000000	0.000000
ENSGALG00010007831	gga-mir-1604	1	+	734201	734297	0.000000	0.000000	0.000000
ENSGALG00010007621	-	1	-	842095	846151	11.237006	2.315751	5.960589
ENSGALG00010007592	-	1	+	915875	917023	0.000000	0.000000	0.000000
ENSGALG00010007764	-	1	-	925866	930811	0.000000	0.000000	0.000000
ENSGALG00010007760	-	1	+	925866	931087	0.000000	0.000000	0.000000
ENSGALG00010005414	-	1	-	56535	61129	14.139347	2.913872	7.500116
ENSGALG00010005419	-	1	-	67865	69817	5.761788	1.187404	3.056299
ENSGALG00010007874	-	1	-	70300	79479	1.273741	1.300553	3.347538
ENSGALG00010005420	DHRS4	1	+	79726	86101	56.604809	11.665262	30.025616
ENSGALG00010007825	U2	1	-	87932	88122	0.087290	0.017989	0.046302
ENSGALG00010007820	U2	1	-	92770	92960	0.087290	0.017989	0.046302
ENSGALG00010007824	U2	1	-	97620	97810	0.087290	0.017989	0.046302
ENSGALG00010007823	U2	1	-	102476	102666	0.087290	0.017989	0.046302
ENSGALG00010007822	U2	1	-	107338	107528	0.087290	0.017989	0.046302
ENSGALG00010007813	U2	1	-	112199	112389	0.087290	0.017989	0.046302
ENSGALG00010007827	U2	1	-	117042	117232	0.087290	0.017989	0.046302
ENSGALG00010007814	U2	1	-	121885	122075	0.087290	0.017989	0.046302
ENSGALG00010007816	U2	1	-	126722	126912	0.087290	0.017989	0.046302
ENSGALG00010007123	-	1	-	130434	335145	31.119194	6.413122	16.506954
ENSGALG00010007126	-	1	-	137726	140009	1.351277	0.278475	0.716775
ENSGALG00010007137	-	1	+	142613	146749	29.597027	6.099430	15.699532
ENSGALG00010007160	-	1	-	163071	167700	34.730110	10.525426	27.091751
ENSGALG00010007182	-	1	+	218643	251034	27.379232	5.642382	14.523118
ENSGALG00010007165	-	1	+	219451	220975	5.987744	1.233969	3.176156
ENSGALG00010007320	-	1	+	248230	292245	65.553383	18.881268	48.599140
ENSGALG00010007230	-	1	+	283928	323551	0.915092	0.642610	1.654036
ENSGALG00010007339	-	1	+	295945	438633	6.511310	6.425940	16.539948
ENSGALG00010007115	-	1	-	302853	433386	4.202201	35.292225	90.839851
ENSGALG00010007387	-	1	-	325396	427848	0.139693	0.036801	0.094724
ENSGALG00010007398	-	1	-	347657	364453	1.144003	0.235759	0.606828
ENSGALG00010007400	-	1	+	364863	372064	0.593929	0.122398	0.315045
ENSGALG00010007287	-	1	-	389282	409349	50.824009	22.581320	58.122829
ENSGALG00010007369	-	1	-	429352	445284	35.949722	7.488171	19.274057
ENSGALG00010007405	-	1	-	446199	451266	0.000000	0.000000	0.000000
ENSGALG00010007895	-	1	+	460818	493919	26.104815	5.379746	13.847113
ENSGALG00010007408	HCLS1	1	+	495465	507494	3.294157	0.752361	1.936527
ENSGALG00010007415	-	1	-	508667	510645	0.000000	0.000000	0.000000
ENSGALG00010007616	-	1	-	514291	516013	3.791809	0.781426	2.011338
ENSGALG00010007418	-	1	-	518639	524104	16.301483	3.359451	8.647005
ENSGALG00010007419	RABL2A	1	+	524168	528088	17.159334	3.544188	9.122505
ENSGALG00010007422	ACR	1	-	529038	531495	0.606597	0.125009	0.321765
ENSGALG00010007425	-	1	-	532310	537908	28.217144	5.815060	14.967583
ENSGALG00010007427	-	1	-	539693	541500	0.000000	0.000000	0.000000
ENSGALG00010007617	-	1	-	542460	550463	0.000000	0.000000	0.000000
ENSGALG00010007618	-	1	+	542866	550108	0.000000	0.000000	0.000000
ENSGALG00010005486	IRF5	1	+	1207489	1217633	4.310751	1.063382	2.737076
ENSGALG00010005492	TNPO3	1	-	1217871	1235442	88.483124	18.234827	46.935238
ENSGALG00010005496	-	1	+	1217956	1218986	0.000000	0.000000	0.000000
ENSGALG00010006300	GCC1	1	+	1006145	1011082	25.370098	5.232609	13.468390
ENSGALG00010006327	DENND6B	1	-	1012031	1031248	45.758018	13.444314	34.604778
ENSGALG00010007622	-	1	-	1031349	1032595	1.077333	0.222020	0.571464
ENSGALG00010006347	PPP6R2	1	+	1038409	1106230	59.542145	16.391163	42.189770
ENSGALG00010007836	gga-mir-1651	1	+	1082968	1083051	0.000000	0.000000	0.000000
ENSGALG00010007627	-	1	+	1109037	1111632	0.201692	0.041565	0.106986
ENSGALG00010007625	-	1	-	1109037	1112839	2.771345	0.571126	1.470040
ENSGALG00010007628	-	1	-	1114697	1118581	0.885747	0.182537	0.469838
ENSGALG00010007630	-	1	+	1115318	1118412	0.000000	0.000000	0.000000
ENSGALG00010006372	SBF1	1	-	1119149	1184682	93.131386	21.157730	54.458603
ENSGALG00010006410	ADM2	1	+	1180836	1183491	0.000000	0.000000	0.000000
ENSGALG00010007888	MIOX	1	+	1183559	1192714	1.145336	0.329788	0.848853
ENSGALG00010006421	LMF2	1	-	1188298	1195071	181.513214	38.081654	98.019669
ENSGALG00010006457	NCAPH2	1	+	1194787	1204682	11.177935	2.725701	7.015775
ENSGALG00010006463	SCO2	1	-	1198695	1205558	20.113222	4.144984	10.668915
ENSGALG00010005498	SMO	1	+	1241559	1250136	271.367554	55.924114	143.944977
ENSGALG00010005511	AHCYL2	1	+	1251070	1295883	6.145513	9.375207	24.131163
ENSGALG00010007597	SMKR1	1	+	1319747	1319947	3.940299	0.812027	2.090103
ENSGALG00010007631	-	1	-	1321714	1328961	1.437414	0.296226	0.762466
ENSGALG00010005524	STRIP2	1	+	1296520	1312008	31.142967	7.107042	18.293056
ENSGALG00010006536	-	1	-	1462130	1468425	0.000000	0.000000	0.000000
ENSGALG00010006532	KLHDC10	1	+	1446328	1461719	33.526951	6.909319	17.784132
ENSGALG00010006548	TMEM209	1	-	1471509	1483335	20.312813	4.906284	12.628451
ENSGALG00010005546	NRF1	1	+	1330243	1378306	10.739364	5.466144	14.069494
ENSGALG00010007840	gga-mir-182	1	-	1380872	1380953	0.000000	0.000000	0.000000
ENSGALG00010007828	gga-mir-96	1	-	1381942	1382027	0.000000	0.000000	0.000000
ENSGALG00010007838	gga-mir-183	1	-	1382053	1382150	0.000000	0.000000	0.000000
ENSGALG00010006496	UBE2H	1	-	1391671	1435875	90.465645	32.045326	82.482559
ENSGALG00010006528	ZC3HC1	1	-	1436603	1446071	22.352365	6.022706	15.502048
ENSGALG00010006625	-	1	+	1553290	1554517	0.000000	0.000000	0.000000
ENSGALG00010006574	CPA1	1	+	1503030	1507277	0.000000	0.000000	0.000000
ENSGALG00010006581	CEP41	1	-	1507199	1516893	7.242555	1.517343	3.905541
ENSGALG00010006603	MEST	1	+	1517049	1522232	4.029577	1.170668	3.013223
ENSGALG00010006616	COPG2	1	-	1520366	1541146	55.494881	13.820221	35.572338
