Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSGALG00010007613	-	1	-	50911	55356	15.281724	5.729811	12.124446
ENSGALG00010007615	-	1	+	51038	52955	1.615934	0.329466	0.697160
ENSGALG00010007616	-	1	-	514291	516013	6.074232	1.238451	2.620599
ENSGALG00010007418	-	1	-	518639	524104	6.276842	1.279761	2.708010
ENSGALG00010007419	RABL2A	1	+	524168	528088	6.741352	1.374468	2.908414
ENSGALG00010007422	ACR	1	-	529038	531495	0.000000	0.000000	0.000000
ENSGALG00010007425	-	1	-	532310	537908	24.134178	4.920623	10.412180
ENSGALG00010005414	-	1	-	56535	61129	2.733490	0.557321	1.179306
ENSGALG00010005419	-	1	-	67865	69817	2.423379	0.494093	1.045516
ENSGALG00010007874	-	1	-	70300	79479	0.468880	0.563981	1.193399
ENSGALG00010005420	DHRS4	1	+	79726	86101	23.108948	4.711593	9.969866
ENSGALG00010007825	U2	1	-	87932	88122	0.118325	0.024125	0.051049
ENSGALG00010007820	U2	1	-	92770	92960	0.198953	0.040564	0.085834
ENSGALG00010007824	U2	1	-	97620	97810	0.439193	0.089545	0.189481
ENSGALG00010007823	U2	1	-	102476	102666	0.217504	0.044346	0.093837
ENSGALG00010007822	U2	1	-	107338	107528	0.340015	0.069324	0.146692
ENSGALG00010007813	U2	1	-	112199	112389	0.215409	0.043919	0.092934
ENSGALG00010007827	U2	1	-	117042	117232	0.177711	0.036233	0.076670
ENSGALG00010007814	U2	1	-	121885	122075	0.297081	0.060571	0.128169
ENSGALG00010007816	U2	1	-	126722	126912	0.177711	0.036233	0.076670
ENSGALG00010007123	-	1	-	130434	335145	22.483511	4.584075	9.700034
ENSGALG00010007126	-	1	-	137726	140009	0.633085	0.129077	0.273131
ENSGALG00010007137	-	1	+	142613	146749	55.903770	11.398001	24.118498
ENSGALG00010007160	-	1	-	163071	167700	15.824461	4.760275	10.072881
ENSGALG00010007182	-	1	+	218643	251034	22.313908	4.549495	9.626863
ENSGALG00010007165	-	1	+	219451	220975	2.250705	0.458887	0.971019
ENSGALG00010007320	-	1	+	248230	292245	27.295338	8.660914	18.326746
