Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSGALG00010007613	-	1	-	50911	55356	27.269398	11.182161	23.270273
ENSGALG00010007615	-	1	+	51038	52955	1.162543	0.238824	0.496998
ENSGALG00010005414	-	1	-	56535	61129	3.651336	0.750104	1.560980
ENSGALG00010006288	ARF5	1	-	994952	1005857	3.809019	1.365853	2.842364
ENSGALG00010006300	GCC1	1	+	1006145	1011082	22.747549	4.676913	9.732738
ENSGALG00010005419	-	1	-	67865	69817	2.001965	0.411269	0.855858
ENSGALG00010007874	-	1	-	70300	79479	0.490199	0.415753	0.865190
ENSGALG00010005420	DHRS4	1	+	79726	86101	28.212885	5.795851	12.061266
ENSGALG00010007825	U2	1	-	87932	88122	0.079025	0.016234	0.033784
ENSGALG00010007820	U2	1	-	92770	92960	0.116928	0.024021	0.049988
ENSGALG00010007824	U2	1	-	97620	97810	1.009600	0.207405	0.431613
ENSGALG00010007823	U2	1	-	102476	102666	0.177142	0.036391	0.075730
ENSGALG00010007822	U2	1	-	107338	107528	0.177139	0.036390	0.075729
ENSGALG00010007813	U2	1	-	112199	112389	0.255672	0.052523	0.109302
ENSGALG00010007827	U2	1	-	117042	117232	0.158815	0.032626	0.067895
ENSGALG00010007814	U2	1	-	121885	122075	0.158815	0.032626	0.067895
ENSGALG00010007816	U2	1	-	126722	126912	0.237348	0.048759	0.101468
ENSGALG00010007123	-	1	-	130434	335145	24.333351	4.998868	10.402731
ENSGALG00010007126	-	1	-	137726	140009	0.156933	0.032239	0.067090
ENSGALG00010007137	-	1	+	142613	146749	59.200623	12.161747	25.308809
ENSGALG00010007160	-	1	-	163071	167700	35.518799	10.702047	22.271149
ENSGALG00010007182	-	1	+	218643	251034	15.180908	3.118656	6.489977
ENSGALG00010007165	-	1	+	219451	220975	7.228795	1.485031	3.090376
ENSGALG00010007320	-	1	+	248230	292245	58.151546	18.462442	38.420662
ENSGALG00010007230	-	1	+	283928	323551	0.900139	0.628892	1.308734
ENSGALG00010007339	-	1	+	295945	438633	4.615475	4.365258	9.084177
ENSGALG00010007115	-	1	-	302853	433386	2.704205	22.179420	46.155762
ENSGALG00010007387	-	1	-	325396	427848	0.000000	0.000000	0.000000
ENSGALG00010007398	-	1	-	347657	364453	0.452875	0.093035	0.193608
ENSGALG00010007400	-	1	+	364863	372064	0.084832	0.017427	0.036266
ENSGALG00010007287	-	1	-	389282	409349	20.139118	10.212228	21.251823
ENSGALG00010007369	-	1	-	429352	445284	7.516237	1.626406	3.384580
ENSGALG00010007405	-	1	-	446199	451266	1.742586	0.357984	0.744971
ENSGALG00010006327	DENND6B	1	-	1012031	1031248	13.985299	4.098390	8.528822
ENSGALG00010007622	-	1	-	1031349	1032595	0.250668	0.051495	0.107163
ENSGALG00010007895	-	1	+	460818	493919	19.093410	3.922412	8.162608
ENSGALG00010007408	HCLS1	1	+	495465	507494	29.489264	6.492280	13.510549
ENSGALG00010007415	-	1	-	508667	510645	0.000000	0.000000	0.000000
ENSGALG00010007616	-	1	-	514291	516013	2.670649	0.548639	1.141727
ENSGALG00010007418	-	1	-	518639	524104	7.061353	1.450633	3.018793
ENSGALG00010007419	RABL2A	1	+	524168	528088	7.763103	1.656892	3.448021
